hide_gender,שנת אבחנה,מגדר ולאום,לאום,מגדר,סוג סרטן,קבוצת גיל,יבשת מוצא,מקדם עולמי,ASR Total,ASR_T,Cancer Rate,gender_code,ind_single_gender,World_Coefficient_N,אוכלוסיה,אוכלוסיה מחושבת,מספר מקרי סרטן,"סה""כ אוכלוסיה",סוגי סרטן לפי מגדר,סכום מקרי הסרטן
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,05-ספט,,10000,0,0,0,1,0,"10,000",275653,275653,0,275653,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,0-4,,12000,0,0,0,1,0,"12,000",316621,316621,0,316621,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,70-74,,2000,5.29,5.29,264.27,1,0,"2,000",76438,76438,202,76438,3,202
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,75+,,2000,6.16,6.16,307.86,1,0,"2,000",144873,144873,446,144873,3,446
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,65-69,,3000,5.43,5.43,181.14,1,0,"3,000",103234,103234,187,103234,3,187
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,55-59,,4000,3.21,3.21,80.33,1,0,"4,000",156860,156860,126,156860,3,126
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,60-64,,4000,5.45,5.45,136.24,1,0,"4,000",150470,150470,205,150470,3,205
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,50-54,,5000,2.57,2.57,51.31,1,0,"5,000",157873,157873,81,157873,3,81
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,30-34,,6000,0.03,0.03,0.45,1,0,"6,000",221118,221118,1,221118,3,1
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,35-39,,6000,0.14,0.14,2.34,1,0,"6,000",213439,213439,5,213439,3,5
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,40-44,,6000,0.65,0.65,10.8,1,0,"6,000",185243,185243,20,185243,3,20
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,45-49,,6000,1.35,1.35,22.5,1,0,"6,000",160002,160002,36,160002,3,36
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,20-24,,8000,0.07,0.07,0.88,1,0,"8,000",226783,226783,2,226783,3,2
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,25-29,,8000,0.07,0.07,0.86,1,0,"8,000",233330,233330,2,233330,3,2
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,אוק-14,,9000,0,0,0,1,0,"9,000",244974,244974,0,244974,3,0
FALSE,2012,"זכר, יהודי ואחר",יהודי ואחר,זכר,lung,15-19,,9000,0.04,0.04,0.44,1,0,"9,000",226145,226145,1,226145,3,1
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,05-ספט,,10000,0,0,0,2,0,"10,000",262110,262110,0,262110,3,0
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,0-4,,12000,0.04,0.04,0.33,2,0,"12,000",301744,301744,1,301744,3,1
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,70-74,,2000,2.35,2.35,117.57,2,0,"2,000",94411,94411,111,94411,3,111
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,75+,,2000,2.81,2.81,140.73,2,0,"2,000",211037,211037,297,211037,3,297
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,65-69,,3000,3.11,3.11,103.76,2,0,"3,000",116619,116619,121,116619,3,121
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,55-59,,4000,1.94,1.94,48.45,2,0,"4,000",171296,171296,83,171296,3,83
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,60-64,,4000,2.83,2.83,70.79,2,0,"4,000",166681,166681,118,166681,3,118
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,50-54,,5000,1.15,1.15,22.92,2,0,"5,000",170163,170163,39,170163,3,39
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,30-34,,6000,0.05,0.05,0.9,2,0,"6,000",223430,223430,2,223430,3,2
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,35-39,,6000,0.3,0.3,5.07,2,0,"6,000",216986,216986,11,216986,3,11
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,40-44,,6000,0.32,0.32,5.26,2,0,"6,000",190234,190234,10,190234,3,10
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,45-49,,6000,0.43,0.43,7.22,2,0,"6,000",166120,166120,12,166120,3,12
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,20-24,,8000,0.04,0.04,0.46,2,0,"8,000",218907,218907,1,218907,3,1
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,25-29,,8000,0,0,0,2,0,"8,000",230512,230512,0,230512,3,0
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,אוק-14,,9000,0,0,0,2,0,"9,000",233287,233287,0,233287,3,0
FALSE,2012,"נקבה, יהודי ואחר",יהודי ואחר,נקבה,lung,15-19,,9000,0,0,0,2,0,"9,000",215466,215466,0,215466,3,0
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,05-ספט,,10000,0,0,0,1,0,"10,000",101352,101352,0,101352,3,0
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,0-4,,12000,0,0,0,1,0,"12,000",100859,100859,0,100859,3,0
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,70-74,,2000,8.27,8.27,413.42,1,0,"2,000",8466,8466,35,8466,3,35
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,75+,,2000,7.64,7.64,382.1,1,0,"2,000",9945,9945,38,9945,3,38
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,65-69,,3000,9.68,9.68,322.61,1,0,"3,000",12709,12709,41,12709,3,41
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,55-59,,4000,5.15,5.15,128.77,1,0,"4,000",22520,22520,29,22520,3,29
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,60-64,,4000,8.88,8.88,221.95,1,0,"4,000",15319,15319,34,15319,3,34
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,50-54,,5000,3.19,3.19,63.8,1,0,"5,000",31349,31349,20,31349,3,20
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,30-34,,6000,0.22,0.22,3.59,1,0,"6,000",55752,55752,2,55752,3,2
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,35-39,,6000,0.11,0.11,1.82,1,0,"6,000",54937,54937,1,54937,3,1
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,40-44,,6000,0.89,0.89,14.89,1,0,"6,000",47026,47026,7,47026,3,7
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,45-49,,6000,2.19,2.19,36.52,1,0,"6,000",41077,41077,15,41077,3,15
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,20-24,,8000,0,0,0,1,0,"8,000",73548,73548,0,73548,3,0
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,25-29,,8000,0.14,0.14,1.71,1,0,"8,000",58379,58379,1,58379,3,1
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,אוק-14,,9000,0.09,0.09,0.98,1,0,"9,000",101688,101688,1,101688,3,1
FALSE,2012,"זכר, ערבי",ערבי,זכר,lung,15-19,,9000,0,0,0,1,0,"9,000",88140,88140,0,88140,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,05-ספט,,10000,0,0,0,2,0,"10,000",96409,96409,0,96409,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,0-4,,12000,0,0,0,2,0,"12,000",95942,95942,0,95942,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,70-74,,2000,0.43,0.43,21.42,2,0,"2,000",9336,9336,2,9336,3,2
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,75+,,2000,1.05,1.05,52.7,2,0,"2,000",13283,13283,7,13283,3,7
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,65-69,,3000,0.87,0.87,28.91,2,0,"3,000",13838,13838,4,13838,3,4
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,55-59,,4000,0.85,0.85,21.33,2,0,"4,000",23437,23437,5,23437,3,5
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,60-64,,4000,0.96,0.96,23.99,2,0,"4,000",16677,16677,4,16677,3,4
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,50-54,,5000,0.16,0.16,3.15,2,0,"5,000",31754,31754,1,31754,3,1
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,30-34,,6000,0.22,0.22,3.64,2,0,"6,000",54890,54890,2,54890,3,2
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,35-39,,6000,0,0,0,2,0,"6,000",53947,53947,0,53947,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,40-44,,6000,0.26,0.26,4.3,2,0,"6,000",46533,46533,2,46533,3,2
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,45-49,,6000,1.62,1.62,27.05,2,0,"6,000",40666,40666,11,40666,3,11
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,20-24,,8000,0,0,0,2,0,"8,000",71030,71030,0,71030,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,25-29,,8000,0,0,0,2,0,"8,000",57423,57423,0,57423,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,אוק-14,,9000,0,0,0,2,0,"9,000",96489,96489,0,96489,3,0
FALSE,2012,"נקבה, ערבי",ערבי,נקבה,lung,15-19,,9000,0,0,0,2,0,"9,000",83744,83744,0,83744,3,0
,,,,,,,,,,,,,,,,,2382,,,
